rowid,state,confirmed,recovered,dead,active,date
1,Andaman and Nicobar Islands,11,10,0,1,2020-04-15
2,Andhra Pradesh,503,16,9,478,2020-04-15
3,Arunachal Pradesh,1,0,0,1,2020-04-15
4,Assam,33,0,1,32,2020-04-15
5,Bihar,70,29,1,40,2020-04-15
6,Chandigarh,21,7,0,14,2020-04-15
7,Chhattisgarh,33,13,0,20,2020-04-15
8,Delhi,1561,30,30,1501,2020-04-15
9,Goa,7,5,0,2,2020-04-15
10,Gujarat,695,59,30,606,2020-04-15
11,Haryana,199,34,3,162,2020-04-15
12,Himachal Pradesh,33,13,1,19,2020-04-15
13,Jammu and Kashmir,278,30,4,244,2020-04-15
14,Jharkhand,27,0,2,25,2020-04-15
15,Karnataka,277,75,11,191,2020-04-15
16,Kerala,387,211,3,173,2020-04-15
17,Ladakh,17,10,0,7,2020-04-15
18,Madhya Pradesh,987,64,53,870,2020-04-15
19,Maharashtra,2687,259,178,2250,2020-04-15
20,Manipur,2,1,0,1,2020-04-15
21,Meghalaya,7,0,1,6,2020-04-15
22,Mizoram,1,0,0,1,2020-04-15
23,Nagaland#,0,0,0,0,2020-04-15
24,Odisha,60,18,1,41,2020-04-15
25,Puducherry,7,1,0,6,2020-04-15
26,Punjab,186,14,13,159,2020-04-15
27,Rajasthan,1005,147,3,855,2020-04-15
28,Tamil Nadu,1204,81,12,1111,2020-04-15
29,Telengana,647,120,18,509,2020-04-15
30,Tripura,2,0,0,2,2020-04-15
31,Uttarakhand,37,9,0,28,2020-04-15
32,Uttar Pradesh,735,51,11,673,2020-04-15
32,West Bengal,213,37,7,169,2020-04-15
1,Andaman and Nicobar,11,10,0,1,2020-04-16
2,Andhra Pradesh,534,20,14,500,2020-04-16
3,Arunachal Pradesh,1,0,0,1,2020-04-16
4,Assam,33,5,1,27,2020-04-16
5,Bihar,74,29,1,44,2020-04-16
6,Chandigarh,21,7,0,14,2020-04-16
7,Chhattisgarh,33,17,0,16,2020-04-16
8,Delhi,1578,42,32,1504,2020-04-16
9,Goa,7,5,0,2,2020-04-16
10,Gujarat,871,64,36,771,2020-04-16
11,Haryana,205,43,3,159,2020-04-16
12,Himachal Pradesh,35,16,1,18,2020-04-16
13,Jammu and Kashmir,300,36,4,260,2020-04-16
14,Jharkhand,28,0,2,26,2020-04-16
15,Karnataka,315,82,13,220,2020-04-16
16,Kerala,388,218,3,167,2020-04-16
17,Ladakh,17,10,0,7,2020-04-16
18,Madhya Pradesh,1120,64,53,1003,2020-04-16
19,Maharashtra,2919,295,187,2437,2020-04-16
20,Manipur,2,1,0,1,2020-04-16
21,Meghalaya,7,0,1,6,2020-04-16
22,Mizoram,1,0,0,1,2020-04-16
23,Nagaland#,0,0,0,0,2020-04-16
24,Odisha,60,18,1,41,2020-04-16
25,Puducherry,7,1,0,6,2020-04-16
26,Punjab,186,27,13,146,2020-04-16
27,Rajasthan,1023,147,3,873,2020-04-16
28,Tamil Nadu,1242,118,14,1110,2020-04-16
29,Telengana,698,120,18,560,2020-04-16
30,Tripura,2,1,0,1,2020-04-16
31,Uttarakhand,37,9,0,28,2020-04-16
32,Uttar Pradesh,773,68,13,692,2020-04-16
32,West Bengal,231,42,7,182,2020-04-16
